Año,Población en edad de trabajar (Total),Fuerza de trabajo (Total),Población ocupada (Total),Población desocupada (Total),Población desocupada (Cesantes),Población desocupada (Buscan trabajo por primera vez),Fuera de la fuerza de trabajo (Total),Fuera de la fuerza de trabajo (Iniciadores),Fuera de la fuerza de trabajo (Inactivos potencialmente activos),Fuera de la fuerza de trabajo (Inactivos habituales),Tasa de desocupación,Tasa de ocupación ,Tasa de participación
2010,13296.160000000304,8000.069096489515,7337.399869936192,662.6692265533225,580.5581302748153,82.11109627850719,5296.090903510789,59.06123185465248,968.5857629710514,4268.443908685085,8.28329378860123,55.184353000686095,60.1682673530503
2011,13505.226000013396,8305.64106264665,7698.576801944122,607.0642607025272,530.5348766557672,76.52938404675996,5199.584937366746,52.65083178706094,913.280090251308,4233.654015328378,7.309059663470239,57.0044277817823,61.49946000635911
2012,13711.386000005756,8430.674447253492,7874.555778089455,556.1186691640376,491.0394247979085,65.07924436612907,5280.711552752263,47.34790121957073,869.1298710106892,4364.233780522003,6.596372243328734,57.4307789021923,61.48666843198749
2013,13899.476001125446,8560.860201364663,8039.630943542931,521.2292578217315,462.10441759742736,59.124840224304144,5338.615799760783,54.65734127779031,822.9057817073225,4461.05267677567,6.088515003885284,57.84125202196082,61.59124416396335
2014,14088.688004512214,8719.712814301036,8153.126288807916,566.5865254931202,507.3847403310557,59.20178516206454,5368.975190211177,50.79149379108769,800.9386825876825,4517.245013832407,6.497765896187227,57.87001803288352,61.89158856742626
2015,14275.667000000361,8853.653914554985,8293.054375921827,560.599538633158,506.5199448146342,54.07959381852379,5422.013085445376,62.53736526697147,801.431799441284,4558.043920737121,6.331843824520394,58.09223748299549,62.01919612270839
2016,14474.396000001952,8991.439305488073,8389.930360006461,601.5089454816114,543.7828158057206,57.726129675890796,5482.956694513881,67.00870778071607,775.3007984550705,4640.647188278094,6.689795983102178,57.96394101698841,62.11961663538057
2017,14729.490000541851,9235.345143233526,8592.194129202913,643.1510140306111,574.229283149976,68.921730880635,5494.144857308326,66.96146169987917,752.7714244722839,4674.411971136163,6.964017089299901,58.33327650099789,62.6996938990677
2018,15055.265000503541,9483.20541054352,8783.603283189714,699.602127353806,615.4651481260661,84.13697922773999,5572.059589960021,64.44726476170523,723.6693096099481,4783.943015588368,7.37727484607664,58.34240236153887,62.989295839205376
2019,15393.044000005957,9674.462196580193,8975.909918738655,698.5522778415373,609.1500803697159,89.40219747182142,5718.581803425765,70.95773803618471,745.6511829021559,4901.972882487425,7.220579952118343,58.31146795094707,62.849571511498624
2020,15720.27200000008,8853.973502977075,7922.464075219924,931.5094277571502,853.0595477884351,78.44987996871511,6866.298497023007,59.738024154335015,1629.4343555653552,5177.126117303316,10.52080658976377,50.39648216786505,56.32201213170504
2021,15932.698005127524,9117.236708594619,8313.958178332652,803.2785302619662,732.4858437400359,70.79268652193035,6815.461296532906,69.21313626811333,1034.825077824651,5711.423082440142,8.810548151116151,52.18173454148833,57.22343262679349
2022,16089.19700000006,9621.130854926892,8862.69622366622,758.434631260673,683.8433242411048,74.5913070195681,6468.066145073168,67.64963042391219,836.6197314006835,5563.796783248572,7.883009208551463,55.084764166081044,59.79870129582512
2023,16238.022000498016,9936.992809460993,9074.388776409365,862.604033051628,785.7807277718663,76.82330527976164,6301.029191037023,63.095851217673626,894.1444947285597,5343.78884509079,8.68073520421937,55.883584688646536,61.195832898589664
